flag_key,id,owner,scope,status,notes
FLAG_KEY_T16_0041,0x1329,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0042,0x132a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0043,0x132b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0044,0x132c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0045,0x132d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0046,0x132e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0047,0x132f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0048,0x1330,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0049,0x1331,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0050,0x1332,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0051,0x1333,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0052,0x1334,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0053,0x1335,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0054,0x1336,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0055,0x1337,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0056,0x1338,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0057,0x1339,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0058,0x133a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0059,0x133b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0060,0x133c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0061,0x133d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0062,0x133e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0063,0x133f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0064,0x1340,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0065,0x1341,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0066,0x1342,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0067,0x1343,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0068,0x1344,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0069,0x1345,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0070,0x1346,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0071,0x1347,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0072,0x1348,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0073,0x1349,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0074,0x134a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0075,0x134b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0076,0x134c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0077,0x134d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0078,0x134e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0079,0x134f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0080,0x1350,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0081,0x1351,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0082,0x1352,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0083,0x1353,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0084,0x1354,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0085,0x1355,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0086,0x1356,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0087,0x1357,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0088,0x1358,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0089,0x1359,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0090,0x135a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0091,0x135b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0092,0x135c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0093,0x135d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0094,0x135e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0095,0x135f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0096,0x1360,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0097,0x1361,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0098,0x1362,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0099,0x1363,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0100,0x1364,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0101,0x1365,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0102,0x1366,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0103,0x1367,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0104,0x1368,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0105,0x1369,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0106,0x136a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0107,0x136b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0108,0x136c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0109,0x136d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0110,0x136e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0111,0x136f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0112,0x1370,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0113,0x1371,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0114,0x1372,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0115,0x1373,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0116,0x1374,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0117,0x1375,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0118,0x1376,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0119,0x1377,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0120,0x1378,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0121,0x1379,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0122,0x137a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0123,0x137b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0124,0x137c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0125,0x137d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0126,0x137e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0127,0x137f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0128,0x1380,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0129,0x1381,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0130,0x1382,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0131,0x1383,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0132,0x1384,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0133,0x1385,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0134,0x1386,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0135,0x1387,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0136,0x1388,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0137,0x1389,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0138,0x138a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0139,0x138b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0140,0x138c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0141,0x138d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0142,0x138e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0143,0x138f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0144,0x1390,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0145,0x1391,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0146,0x1392,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0147,0x1393,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0148,0x1394,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0149,0x1395,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0150,0x1396,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0151,0x1397,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0152,0x1398,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0153,0x1399,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0154,0x139a,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0155,0x139b,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0156,0x139c,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0157,0x139d,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0158,0x139e,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0159,0x139f,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0160,0x13a0,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0161,0x13a1,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0162,0x13a2,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0163,0x13a3,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0164,0x13a4,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0165,0x13a5,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0166,0x13a6,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0167,0x13a7,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0168,0x13a8,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0169,0x13a9,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0170,0x13aa,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0171,0x13ab,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0172,0x13ac,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0173,0x13ad,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0174,0x13ae,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
FLAG_KEY_T16_0175,0x13af,T16,EXPANDED_SAVE_FLAGS,ALLOCATED,T02実証済み0x0900..0x18FF内のproject window
